loc data homology
1 0.318881 1
6 0.318984 1
11 0.3213 1
16 0.343637 1
21 0.355235 1
26 0.362049 1
31 0.360439 1
36 0.367006 1
41 0.373829 1
46 0.364877 1
51 0.363861 1
56 0.366541 1
61 0.367684 1
66 0.384329 1
71 0.429798 1
76 0.467366 1
81 0.48507 1
86 0.477505 1
91 0.508264 1
96 0.538626 1
101 0.555423 1
106 0.602608 1
111 0.704737 1
116 0.755436 1
121 0.795572 1
126 0.79741 1
131 0.787234 1
136 0.787059 1
141 0.701748 1
146 0.612918 1
151 0.610393 1
156 0.578367 1
161 0.571238 1
166 0.569052 1
171 0.567413 1
176 0.567043 1
181 0.559907 1
186 0.591008 1
191 0.610942 1
196 0.621907 1
201 0.641942 1
206 0.721527 1
211 0.731276 1
216 0.739827 1
221 0.712602 1
226 0.643241 1
231 0.615224 1
236 0.591057 1
241 0.582759 1
246 0.567167 1
251 0.552628 1
256 0.542119 1
261 0.519587 1
266 0.510856 1
271 0.504844 1
276 0.491847 1
281 0.484747 1
286 0.483136 1
291 0.484268 1
296 0.488831 1
301 0.49591 1
306 0.488534 1
311 0.479134 1
316 0.488459 1
321 0.517104 1
326 0.541567 1
331 0.582754 1
336 0.665688 1
341 0.685868 1
346 0.689082 1
351 0.642546 1
356 0.632933 1
361 0.604726 1
366 0.54466 1
371 0.513487 1
376 0.497495 1
381 0.503262 1
386 0.507089 1
391 0.499945 1
396 0.511299 1
401 0.523955 1
406 0.529259 1
411 0.531611 1
416 0.531308 1
421 0.537874 1
426 0.541988 1
431 0.57198 1
436 0.61396 1
441 0.584912 1
446 0.567436 1
451 0.579697 1
456 0.622089 1
461 0.633462 1
466 0.611431 1
471 0.619394 1
476 0.640259 1
481 0.639937 1
486 0.639188 1
491 0.631682 1
496 0.597951 1
501 0.582299 1
506 0.571976 1
511 0.56211 1
516 0.551991 1
521 0.541236 1
526 0.5376 1
531 0.536187 1
536 0.535706 1
541 0.53918 1
546 0.556183 1
551 0.616904 1
556 0.64177 1
561 0.628038 1
566 0.634371 1
571 0.660417 1
576 0.668645 1
581 0.67412 1
586 0.691963 1
591 0.724956 1
596 0.758756 1
601 0.763601 1
606 0.77546 1
611 0.840373 1
616 0.920091 1
621 0.983993 1
626 0.960188 1
631 0.892108 1
636 0.838475 1
641 0.831237 1
646 0.811768 1
651 0.799223 1
656 0.769056 1
661 0.7538 1
666 0.771082 1
671 0.781735 1
676 0.765819 1
681 0.786083 1
686 0.815761 1
691 0.805915 1
696 0.817228 1
701 0.830189 1
706 0.838568 1
711 0.834414 1
716 0.831885 1
721 0.844544 1
726 0.820512 1
731 0.819993 1
736 0.882359 1
741 0.89499 1
746 0.899732 1
751 0.886655 1
756 0.881827 1
761 0.879519 1
766 0.841914 1
771 0.82168 1
776 0.832074 1
781 0.848048 1
786 0.850435 1
791 0.844583 1
796 0.860443 1
801 0.866289 1
806 0.844233 1
811 0.814295 1
816 0.776188 1
821 0.759451 1
826 0.732816 1
831 0.721538 1
836 0.723272 1
841 0.703882 1
846 0.723094 1
851 0.709454 1
856 0.708797 1
861 0.700097 1
866 0.681515 1
871 0.684605 1
876 0.680648 1
881 0.582129 1
886 0.523875 1
891 0.513205 1
896 0.51277 1
901 0.50326 1
906 0.50982 1
911 0.515467 1
916 0.511135 1
921 0.4937 1
926 0.466842 1
931 0.465443 1
936 0.460719 1
941 0.462305 1
946 0.453657 1
951 0.445158 1
956 0.441307 1
961 0.439329 1
966 0.436984 1
971 0.435033 1
976 0.44474 1
981 0.467829 1
986 0.506443 1
991 0.486499 1
996 0.470803 1
1001 0.444683 1
1006 0.434578 1
1011 0.425568 1
1016 0.415988 1
1021 0.393137 1
1026 0.391861 1
1031 0.393052 1
1036 0.426194 1
1041 0.479076 1
1046 0.508136 1
1051 0.499762 1
1056 0.494505 1
1061 0.489672 1
1066 0.476943 1
1071 0.481778 1
1076 0.517803 1
1081 0.527346 1
1086 0.516604 1
1091 0.537108 1
1096 0.527707 1
1101 0.518818 1
1106 0.481509 1
1111 0.478233 1
1116 0.467296 1
1121 0.459936 1
1126 0.451598 1
1131 0.443062 1
1136 0.447309 1
1141 0.444994 1
1146 0.445242 1
1151 0.432247 1
1156 0.411039 1
1161 0.414693 1
1166 0.424015 1
1171 0.435587 1
1176 0.445589 1
1181 0.453516 1
1186 0.453766 1
1191 0.459732 1
1196 0.461977 1
1201 0.50626 1
1206 0.528856 1
1211 0.536187 1
1216 0.544909 1
1221 0.553526 1
1226 0.548185 1
1231 0.546059 1
1236 0.548112 1
1241 0.542397 1
1246 0.531964 1
1251 0.532039 1
1256 0.523925 1
1261 0.516795 1
1266 0.522152 1
1271 0.527397 1
1276 0.53514 1
1281 0.552072 1
1286 0.576893 1
1291 0.59075 1
1296 0.629842 1
1301 0.667367 1
1306 0.656243 1
1311 0.653444 1
1316 0.651904 1
1321 0.663936 1
1326 0.607214 1
1331 0.56977 1
1336 0.554061 1
1341 0.55874 1
1346 0.571137 1
1351 0.600034 1
1356 0.624974 1
1361 0.650333 1
1366 0.72893 1
1371 0.856265 1
1376 0.911866 1
1381 0.936234 1
1386 0.931895 1
1391 1.01368 1
1396 1.06344 1
1401 1.19303 1
1406 1.72162 1
1411 1.93854 1
1416 2.05541 1
1421 2.20661 1
1426 2.36859 1
1431 2.43266 1
1436 2.77698 1
1441 2.81705 1
1446 2.83958 1
